entity	instance	name	value
Column	positive_base_price	Compliance	1.0
Column	date	Completeness	1.0
Mutlicolumn	units_sold,base_price	Correlation	-0.053894666969926404
Column	record_id	Completeness	1.0
Column	max_temp_c	Mean	30.4306
Column	store_id	Completeness	1.0
Column	store_id	ApproxCountDistinct	5.0
Column	non_negative_units_sold	Compliance	1.0
Column	discount_pct	Mean	0.05460000000000003
Mutlicolumn	units_sold,max_temp_c	Correlation	0.30129733302844974
Column	units_sold	Completeness	1.0
Column	units_sold	Mean	118.306
Dataset	*	Size	500.0
Column	day_of_week	ApproxCountDistinct	7.0
Column	base_price	Completeness	1.0
Column	base_price	Mean	12.629919999999995
Column	rainfall_mm	Mean	3.4208000000000003
Column	valid_discount_range	Compliance	1.0
